kc,kf,K,l,n_sim,C0av,C0bav,F0av,Cav,Cbav,Fav,r,ER,std,mean
0.01,0.0,0.0,0.1,78.0,0.38135593220338987,0.0116247427866357,0.04422532363681289,0.4099159663865547,0.01303986039138753,0.05273968179530935,35,6.9707041371679,0.053091263180284995,0.11617840228613172
0.01,0.0,0.0,0.1,79.0,0.5567796610169492,0.01933550561730704,0.0593345601085002,0.4732620320855615,0.0180327088914391,0.05848391640422504,34,7.245002741842084,0.07037313873808913,0.12075004569736805
0.01,0.0,0.0,0.1,80.0,0.4728813559322034,0.016262948112150014,0.05097909679779703,0.34789915966386553,0.01286835441778389,0.044378734508437004,35,17.837726216279382,1.3757995181891698,0.2972954369379898
0.01,0.0,0.0,0.1,81.0,0.27508474576271186,0.007379110310517163,0.03240205113709654,0.16137931034482758,0.0044462484946755955,0.027068300477041913,30,6.838892802431491,0.05408058303275372,0.1139815467071915
0.01,0.0,0.0,0.1,82.0,0.4845762711864407,0.015340851253853822,0.0528076555724035,0.3872268907563025,0.011637211238876044,0.05056892356604157,35,17.884900316774345,1.4005871819065774,0.29808167194623914
0.01,0.0,0.0,0.1,83.0,0.2491525423728814,0.006413508849803368,0.02818646385808949,0.2647058823529412,0.006970253945980393,0.0352747677002874,34,17.79702432570615,1.4218993605571977,0.29661707209510246
0.01,0.0,0.0,0.1,84.0,0.42203389830508475,0.014461617066799713,0.047784568566926484,0.48068181818181827,0.016931547149772266,0.06069993034654565,33,6.9701846702620065,0.038547150054915845,0.11616974450436679
0.01,0.0,0.0,0.1,85.0,0.31830508474576275,0.008358033677116778,0.03632920750344733,0.31493598862019917,0.008477985444826757,0.04103248916991382,38,7.154972247185884,0.05271844792145636,0.1192495374530981
0.01,0.0,0.0,0.1,86.0,0.4723728813559323,0.015772784752731275,0.05363901906605281,0.64064039408867,0.024203498277978606,0.08183822573909572,29,7.161267033785468,0.052034750493704894,0.11935445056309112
0.01,0.0,0.0,0.1,87.0,0.3477966101694916,0.010590309450933363,0.03709833806544404,0.32067226890756306,0.01069459286521877,0.04032483766005067,35,6.923646511671381,0.051942257563994794,0.11539410852785638
0.01,0.0,0.0,0.1,88.0,0.4006779661016949,0.013190591691571678,0.04627512496658921,0.3842016806722689,0.01298651587598287,0.049811346136004776,35,7.000341438982352,0.044195886861040805,0.11667235731637259
0.01,0.0,0.0,0.1,89.0,0.3315254237288136,0.010414814245935414,0.036356759030250645,0.4323886639676114,0.01591441378732453,0.05176456614504052,39,7.601669616807378,0.061200562215980525,0.1266944936134563
0.01,0.0,0.0,0.1,90.0,0.32949152542372884,0.009774084405982483,0.0363733831173911,0.3017045454545455,0.010377269603873128,0.0399431614582195,33,7.281976514206154,0.060747599628282356,0.12136627523676924
0.01,0.0,0.0,0.1,91.0,0.324406779661017,0.009475910663304943,0.037689865532396956,0.3059743954480797,0.009360235217421695,0.04012969111189278,38,6.8435212323338,0.060181508934905405,0.11405868720556335
0.01,0.0,0.0,0.1,92.0,0.54,0.019630014428394026,0.059876319995899964,0.3682758620689655,0.013255067598105857,0.04835955017797901,30,6.688597642414015,0.0474002532608702,0.11147662737356691
0.01,0.0,0.0,0.1,93.0,0.3752542372881357,0.012437584927600644,0.044288710617305965,0.4463709677419355,0.017668947117544503,0.061314489566112455,32,6.649707147866475,0.032003544414084775,0.11082845246444124
0.01,0.0,0.0,0.1,94.0,0.4591525423728814,0.014881291973225805,0.05249503637444816,0.49251336898395726,0.017244923375222175,0.06398340414759955,34,7.13813652193311,0.04068406020184291,0.11896894203221844
